BLOCKHASH,BLOCKNUMBER,BLOCKTIMESTAMP,TRANSACTIONHASH,LOGADDRESS,TOPICHEX_0,TOPICHEX_1,TOPICHEX_2,TOPICHEX_3,TOPICDEC_0,TOPICDEC_1,TOPICDEC_2,TOPICDEC_3,LOGDATA,LOGINDEX,TRANSACTIONINDEX,REMOVED,PARTITION_DATE
0xfba916028069cd5b590c379c68429f00142a57c172cf0cdf8393caa3f79a6581,34,1601402925,0xf43e4d9dfdf1bfe0759aa5908fa3a552e6e2b7838a0a94e135d8f6ac9d6587db,0x640440c1A691dC824C89f92A856848A9013D3784,0x6fa50d56c31f3efe0cb6ff06232bffce8fe8c4155e3cbb6f2d79dd12631c2522,0xcb132209b401d2ff8c73eed128031d25a1e43f7cf24a74e8f6f4f8d5b705d318,0x0000000000000000000000002d8da8a742accd79d470e38e160d43fceb03c1d5,0x000000000000000000000000767189778891495bcaf68d6ab5f8246d1ec84693,50498348020237674936646727156877866036146515719687718937835388258204532876578,91853313277606139963145173098815395590321814251851764416173643038068473975576,260063681539883698299404189130348943376753344981,676192870222950717379686253009509581364415448723,0x422d62783bc5954bc60d8de5b23c23e10a33300c6fab4dbc1de99c9ad8762721,0,0,false,2020-09-29
0x850bd9914ea6512767e473ecca03229a94608b67c5306892c5260113d3b4f76c,27,1601388003,0x0a147246f6fb8e44381ef0fa6c4485afb697bc5949ba4976669828931234cfb7,0x640440c1A691dC824C89f92A856848A9013D3784,0x2d3a5ed13d0553389b4078e01264416362e34d23520fda797fbc17f3905ed131,0x8f70f4d128e46d3bf6dd3cea9ea8a3b70bab062536755dcf0af77b18f63bf50c,0x000000000000000000000000767189778891495bcaf68d6ab5f8246d1ec84693,0x000000000000000000000000967d458697fb512394740a37d39c3a1ca90b1a30,20457209721215825919055929138353935057720616361263495435123529594584338190641,64880313883706203873505051058258932676458589345306101417862237763873088992524,676192870222950717379686253009509581364415448723,859142265320977054959558455024951620050031942192,0x870c93ad9b15681990b83ab883fc8cd41e00accc394dc9f2489772129d71b3faaec90b5cca84194aa944f79a1142ff2e6b9fc7e717ecb2e6f7ab1064d5d118f5,0,0,false,2020-09-29
0xe2c209a7c02da2292b90e14cbcc606d2efa6159f70ccd83aea927f7763dacd06,25,1601387240,0x724a91553fbd54678a134ad72126f830407959e06854c1f311667f115922b7ca,0x640440c1A691dC824C89f92A856848A9013D3784,0x6fa50d56c31f3efe0cb6ff06232bffce8fe8c4155e3cbb6f2d79dd12631c2522,0xecdee4e395b608fe99e69e4e092c19c50ce6ffbb5189a51a8e29e51c0f3b95df,0x000000000000000000000000767189778891495bcaf68d6ab5f8246d1ec84693,0x000000000000000000000000967d458697fb512394740a37d39c3a1ca90b1a30,50498348020237674936646727156877866036146515719687718937835388258204532876578,107139652047873047038645730853152434395024668909921769292584118699735134213599,676192870222950717379686253009509581364415448723,859142265320977054959558455024951620050031942192,0x9c81215602debfef1d3218218674d7d02c5bfd5928f6afc87f53529d4ce3647b,0,0,false,2020-09-29
0xf32c9bb95ec2b6eebbe2dea2f07f6a524ab23d2bae2a7c84e42004054dd39da4,29,1601391693,0x9299a32ae558195a00c710b9d52a4d5fb68e4647ca3aa832ec3a0f7f8009d902,0x640440c1A691dC824C89f92A856848A9013D3784,0x767d0ffbc3d16cc51fc05770a22976e4b0fda9198e37878b76979429b2d5d88c,0xcd4da79827025ca4e3e77fb2d69b165aadf53f5882efc38366703c51b833b8b7,0x0000000000000000000000002d8da8a742accd79d470e38e160d43fceb03c1d5,0x00000000000000000000000046d5c1c6aafa25f68b005eb281af3841fb77ce37,53593882329686596457682609786654452631037943910373824810254744343969275435148,92861337877217503641644461441431604159371347608302178155304018940752165058743,260063681539883698299404189130348943376753344981,404396292959316872979257326080803106899468209719,0x00000000000000000000000000000000000000000000000001294d6d51ab000000000000000000000000000000000000000000000000000000038d7ea4c68000000000000000000000000000000000000000000000000000000000005f73686d9d3adeb6739883a6e55912fe793f29ddf6685cb7f6774f69aa73dd1e5951f69100000000000000000000000000000000000000000000000000000000000000c0000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000034554480000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002a30786232636238336532653336373638326232633064336161663034313331646439346334316131613900000000000000000000000000000000000000000000,0,0,false,2020-09-29
0x8a8f5da47b0a9dbcd2e17372da22bafe32e0ab96275c42b44f489bdc49322859,24,1601386148,0xadd27ca6b8133042cb2ec75b8d905971c0c4fb8ef89f0d92c35714613507012d,0x640440c1A691dC824C89f92A856848A9013D3784,0x767d0ffbc3d16cc51fc05770a22976e4b0fda9198e37878b76979429b2d5d88c,0xecdee4e395b608fe99e69e4e092c19c50ce6ffbb5189a51a8e29e51c0f3b95df,0x000000000000000000000000767189778891495bcaf68d6ab5f8246d1ec84693,0x000000000000000000000000967d458697fb512394740a37d39c3a1ca90b1a30,53593882329686596457682609786654452631037943910373824810254744343969275435148,107139652047873047038645730853152434395024668909921769292584118699735134213599,676192870222950717379686253009509581364415448723,859142265320977054959558455024951620050031942192,0x0000000000000000000000000000000000000000000000001bc16d674ec80000000000000000000000000000000000000000000000000000004ff08a50175000000000000000000000000000000000000000000000000000000000005f733a8b9c81215602debfef1d3218218674d7d02c5bfd5928f6afc87f53529d4ce3647b00000000000000000000000000000000000000000000000000000000000000c0000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000034554480000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002a30783061356363623538326330623038633865373730343331313338336332656136393838343065376200000000000000000000000000000000000000000000,0,0,false,2020-09-29
0xcec4ca41250c1732284892b0841fc603fb63da83ca046fb626c6cde6921cf109,30,1601391713,0x376236ad2f1f5b0abd7b6271564e9ca100e5038ec43bf93bf1e4bfe1478dfc70,0x640440c1A691dC824C89f92A856848A9013D3784,0x2d3a5ed13d0553389b4078e01264416362e34d23520fda797fbc17f3905ed131,0xcd4da79827025ca4e3e77fb2d69b165aadf53f5882efc38366703c51b833b8b7,0x0000000000000000000000002d8da8a742accd79d470e38e160d43fceb03c1d5,0x00000000000000000000000046d5c1c6aafa25f68b005eb281af3841fb77ce37,20457209721215825919055929138353935057720616361263495435123529594584338190641,92861337877217503641644461441431604159371347608302178155304018940752165058743,260063681539883698299404189130348943376753344981,404396292959316872979257326080803106899468209719,0x4669c8aec057caffbd0bb39c13e6b174afb665a4dcc291a6104c18db6765388d9d3adeb6739883a6e55912fe793f29ddf6685cb7f6774f69aa73dd1e5951f691,0,0,false,2020-09-29
0xb0a2533ce2c91f563e727f0a0259a39e3fc516fae388236ca65701feea114101,33,1601395223,0xa62d75cbd0cc984e9ea7717fee34efd36e68e05863bf4693c4d6b821184d27cb,0x640440c1A691dC824C89f92A856848A9013D3784,0x767d0ffbc3d16cc51fc05770a22976e4b0fda9198e37878b76979429b2d5d88c,0xcb132209b401d2ff8c73eed128031d25a1e43f7cf24a74e8f6f4f8d5b705d318,0x0000000000000000000000002d8da8a742accd79d470e38e160d43fceb03c1d5,0x000000000000000000000000767189778891495bcaf68d6ab5f8246d1ec84693,53593882329686596457682609786654452631037943910373824810254744343969275435148,91853313277606139963145173098815395590321814251851764416173643038068473975576,260063681539883698299404189130348943376753344981,676192870222950717379686253009509581364415448723,0x0000000000000000000000000000000000000000000000000129ea967449000000000000000000000000000000000000000000000000000000038d7ea4c68000000000000000000000000000000000000000000000000000000000005f737636422d62783bc5954bc60d8de5b23c23e10a33300c6fab4dbc1de99c9ad876272100000000000000000000000000000000000000000000000000000000000000c0000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000034554480000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002a30786232636238336532653336373638326232633064336161663034313331646439346334316131613900000000000000000000000000000000000000000000,0,0,false,2020-09-29
0x5fa48d3ca29e04e52e4dcad322cf4c886f324ece393bd3345fa34d8954f0249f,21,1601385658,0x74131adf0fa7661786b749bfb0fae2088f8200b5ba44330a2aa3f6ffede71629,0x640440c1A691dC824C89f92A856848A9013D3784,0x767d0ffbc3d16cc51fc05770a22976e4b0fda9198e37878b76979429b2d5d88c,0xb62e7cd8b22f7eed2d8d959ddb788b546f5e9d60f99836ad87235286d8c0503f,0x000000000000000000000000967d458697fb512394740a37d39c3a1ca90b1a30,0x000000000000000000000000767189778891495bcaf68d6ab5f8246d1ec84693,53593882329686596457682609786654452631037943910373824810254744343969275435148,82403075065794897056089015604697693260521343887655799185194349273386005319743,859142265320977054959558455024951620050031942192,676192870222950717379686253009509581364415448723,0x0000000000000000000000000000000000000000000000001796970efc78000000000000000000000000000000000000000000000000000000470de4df820000000000000000000000000000000000000000000000000000000000005f7350d919e364eda608b7803bd9cb10ebc052c8166c7ca0bf66a1838d1e44326afa08c700000000000000000000000000000000000000000000000000000000000000c0000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000034554480000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002a30786630373536653138386432663965306339303033613635303139626530313064646266356630323600000000000000000000000000000000000000000000,0,0,false,2020-09-29
0x56ce38b18e185b3574b8d6e620029449309707c31663236245d5d53f6b4e8549,26,1601387290,0xf86c66a425953232c0fd8ec3f8574b9346d9e01c0564986d56052480223bfa5b,0x640440c1A691dC824C89f92A856848A9013D3784,0x767d0ffbc3d16cc51fc05770a22976e4b0fda9198e37878b76979429b2d5d88c,0x8f70f4d128e46d3bf6dd3cea9ea8a3b70bab062536755dcf0af77b18f63bf50c,0x000000000000000000000000767189778891495bcaf68d6ab5f8246d1ec84693,0x000000000000000000000000967d458697fb512394740a37d39c3a1ca90b1a30,53593882329686596457682609786654452631037943910373824810254744343969275435148,64880313883706203873505051058258932676458589345306101417862237763873088992524,676192870222950717379686253009509581364415448723,859142265320977054959558455024951620050031942192,0x0000000000000000000000000000000000000000000000000de0b6b3a76400000000000000000000000000000000000000000000000000000027e688f578f000000000000000000000000000000000000000000000000000000000005f748c99aec90b5cca84194aa944f79a1142ff2e6b9fc7e717ecb2e6f7ab1064d5d118f500000000000000000000000000000000000000000000000000000000000000c0000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000034554480000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002a30783061356363623538326330623038633865373730343331313338336332656136393838343065376200000000000000000000000000000000000000000000,0,0,false,2020-09-29
0xd94397bc22a82ab633c47348265363444fc6acdcdbba3a6b8d9d351efcad45f5,23,1601385916,0xa62c644aa842e47cc12c49d1439aa8ca439147992212cb92e29d29b31b8a17c3,0x640440c1A691dC824C89f92A856848A9013D3784,0x2d3a5ed13d0553389b4078e01264416362e34d23520fda797fbc17f3905ed131,0xb62e7cd8b22f7eed2d8d959ddb788b546f5e9d60f99836ad87235286d8c0503f,0x000000000000000000000000967d458697fb512394740a37d39c3a1ca90b1a30,0x000000000000000000000000767189778891495bcaf68d6ab5f8246d1ec84693,20457209721215825919055929138353935057720616361263495435123529594584338190641,82403075065794897056089015604697693260521343887655799185194349273386005319743,859142265320977054959558455024951620050031942192,676192870222950717379686253009509581364415448723,0x6ee8e454a8e9cda8d69917f34ab58c5ff000fad98a8d913a56bb27b4e278987319e364eda608b7803bd9cb10ebc052c8166c7ca0bf66a1838d1e44326afa08c7,0,0,false,2020-09-29
